State,Unit Code,Unit Name,Unit Type, Visitors ,Year
UT,HOVE,Hovenweep National Monument,National Monument," 35,117 ",2015
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park," 35,003 ",2015
PA,FRHI,Friendship Hill National Historic Site,National Historic Site," 34,687 ",2015
MD,HAMP,Hampton National Historic Site,National Historic Site," 34,685 ",2015
MO,HSTR,Harry S Truman National Historic Site,National Historic Site," 32,825 ",2015
WA,LACH,Lake Chelan National Recreation Area,National Recreation Area," 32,186 ",2015
KS,FOLS,Fort Larned National Historic Site,National Historic Site," 32,170 ",2015
LA,CARI,Cane River Creole National Historical Park,National Historical Park," 30,882 ",2015
NM,PECO,Pecos National Historical Park,National Historical Park," 30,229 ",2015
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 29,672 ",2015
KS,TAPR,Tallgrass Prairie National Preserve,National Preserve," 29,558 ",2015
VA,BOWA,Booker T. Washington National Monument,National Monument," 27,205 ",2015
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site," 26,219 ",2015
KS,FOSC,Fort Scott National Historic Site,National Historic Site," 25,531 ",2015
KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site," 25,338 ",2015
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site," 24,896 ",2015
ID,HAFO,Hagerman Fossil Beds National Monument,National Monument," 24,695 ",2015
OH,JAGA,James A. Garfield National Historic Site,National Historic Site," 24,506 ",2015
OH,WIHO,William Howard Taft National Historic Site,National Historic Site," 24,385 ",2015
AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site," 22,662 ",2015
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site," 22,139 ",2015
MA,SPAR,Springfield Armory National Historic Site,National Historic Site," 21,825 ",2015
WA,NOCA,North Cascades National Park,National Park," 20,677 ",2015
TX,WACO,Waco Mammoth National Monument,National Monument," 20,551 ",2015
AL,RUCA,Russell Cave National Monument,National Monument," 19,430 ",2015
WY,FOBU,Fossil Butte National Monument,National Monument," 19,293 ",2015
MI,ISRO,Isle Royale National Park,National Park," 18,684 ",2015
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site," 18,547 ",2015
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site," 18,485 ",2015
AK,LACL,Lake Clark National Park,National Park," 17,818 ",2015
AK,LACL,Lake Clark National Preserve,National Preserve," 17,818 ",2015
NY,SAPA,Saint Paul's Church National Historic Site,National Historic Site," 17,180 ",2015
AS,NPSA,National Park of American Samoa,National Park," 13,892 ",2015
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site," 13,862 ",2015
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site," 13,605 ",2015
NE,AGFO,Agate Fossil Beds National Monument,National Monument," 13,264 ",2015
OH,FILA,First Ladies National Historic Site,National Historic Site," 12,897 ",2015
ME,SACR,Saint Croix Island International Historic Site,International Historic Site," 12,557 ",2015
OK,WABA,Washita Battlefield National Historic Site,National Historic Site," 12,067 ",2015
NM,FOUN,Fort Union National Monument,National Monument," 11,726 ",2015
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site," 11,377 ",2015
AK,GAAR,Gates of the Arctic National Park,National Park," 10,745 ",2015
AK,GAAR,Gates of the Arctic National Preserve,National Preserve," 10,745 ",2015
CA,CECH,Casar E. Chpvez National Monument,National Monument," 10,648 ",2015
AR,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site," 10,463 ",2015
TX,ALFL,Alibates Flint Quarries National Monument,National Monument," 9,492 ",2015
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site," 9,473 ",2015
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site," 9,327 ",2015
DC,MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site," 8,249 ",2015
VI,SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park," 8,108 ",2015
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site," 7,961 ",2015
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site," 7,760 ",2015
VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site," 7,589 ",2015
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site," 6,685 ",2015
CO,SAND,Sand Creek Massacre National Historic Site,National Historic Site," 5,887 ",2015
MD,THST,Thomas Stone National Historic Site,National Historic Site," 5,772 ",2015
OH,CHYO,Charles Young Buffalo Soldiers National Monument,National Monument," 3,993 ",2015
CA,EUON,Eugene O'Neill National Historic Site,National Historic Site," 3,942 ",2015
KS,NICO,Nicodemus National Historic Site,National Historic Site," 3,306 ",2015
MD,CLBA,Clara Barton National Historic Site,National Historic Site," 2,823 ",2015
AK,BELA,Bering Land Bridge National Preserve,National Preserve," 2,642 ",2015
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial," 1,261 ",2015
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve," 1,133 ",2015
CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial, 963 ,2015
AK,ANIA,Aniakchak National Monument,National Monument, 153 ,2015
AK,ANIA,Aniakchak National Preserve,National Preserve, 153 ,2015
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River, 120 ,2015
AK,CAKR,Cape Krusenstern National Monument,National Monument, -   ,2015
AK,KOVA,Kobuk Valley National Park,National Park, -   ,2015
AK,NOAT,Noatak National Preserve,National Preserve, -   ,2015
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site, -   ,2015
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area," 15,004,420 ",2014
NC,BLRI,Blue Ridge Parkway,Parkway," 13,941,749 ",2014
NC,GRSM,Great Smoky Mountains National Park,National Park," 10,099,276 ",2014
VA,GWMP,George Washington Memorial Parkway,National Parkway," 7,472,150 ",2014
DC,LINC,Lincoln Memorial,National Memorial," 7,139,072 ",2014
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area," 6,942,873 ",2014
NY,GATE,Gateway National Recreation Area,National Recreation Area," 6,021,713 ",2014
MS,NATR,Natchez Trace Parkway,Parkway," 5,846,474 ",2014
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park," 5,066,219 ",2014
AZ,GRCA,Grand Canyon National Park,National Park," 4,756,771 ",2014
NY,CACL,Castle Clinton National Monument,National Monument," 4,727,110 ",2014
FL,GUIS,Gulf Islands National Seashore,National Seashore," 4,455,240 ",2014
MA,CACO,Cape Cod National Seashore,National Seashore," 4,426,750 ",2014
DC,VIVE,Vietnam Veterans Memorial,National Memorial," 4,403,467 ",2014
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park," 4,256,888 ",2014
DC,WWII,World War II Memorial,National Memorial," 4,230,793 ",2014
NY,STLI,Statue Of Liberty National Monument,National Monument," 4,198,815 ",2014
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area," 4,041,672 ",2014
CA,YOSE,Yosemite National Park,National Park," 3,882,642 ",2014
DC,KOWA,Korean War Veterans Memorial,National Memorial," 3,767,287 ",2014
PA,INDE,Independence National Historical Park,National Historical Park," 3,648,050 ",2014
WY,YELL,Yellowstone National Park,National Park," 3,513,484 ",2014
CO,ROMO,Rocky Mountain National Park,National Park," 3,434,751 ",2014
VA,COLO,Colonial National Historical Park,National Historical Park," 3,335,060 ",2014
WA,OLYM,Olympic National Park,National Park," 3,243,872 ",2014
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation," 3,199,136 ",2014
UT,ZION,Zion National Park,National Park," 3,189,696 ",2014
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area," 3,119,160 ",2014
DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial," 2,938,239 ",2014
WY,GRTE,Grand Teton National Park,National Park," 2,791,392 ",2014
DC,JEFM,Thomas Jefferson Memorial,National Memorial," 2,708,607 ",2014
ME,ACAD,Acadia National Park,National Park," 2,563,129 ",2014
MA,BOST,Boston National Historical Park,National Historical Park," 2,476,078 ",2014
DC,ROCR,Rock Creek Park,Park," 2,437,948 ",2014
CA,PORE,Point Reyes National Seashore,National Seashore," 2,433,944 ",2014
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area," 2,368,452 ",2014
MT,GLAC,Glacier National Park,National Park," 2,338,528 ",2014
OH,CUVA,Cuyahoga Valley National Park,National Park," 2,189,849 ",2014
MD,ASIS,Assateague Island National Seashore,National Seashore," 2,170,681 ",2014
NC,CAHA,Cape Hatteras National Seashore,National Seashore," 2,153,350 ",2014
SD,MORU,Mount Rushmore National Memorial,National Memorial," 2,144,808 ",2014
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park," 2,119,013 ",2014
PA,VAFO,Valley Forge National Historical Park,National Historical Park," 1,990,881 ",2014
MO,JEFF,Jefferson National Expansion Memorial,National Memorial," 1,817,091 ",2014
HI,HAVO,Hawai'i Volcanoes National Park,National Park," 1,693,005 ",2014
CA,FOPO,Fort Point National Historic Site,National Historic Site," 1,677,457 ",2014
HI,VALR,World War II Valor in the Pacific National Monument,National Monument," 1,620,814 ",2014
CA,JOTR,Joshua Tree National Park,National Park," 1,589,904 ",2014
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore," 1,553,372 ",2014
FL,CANA,Canaveral National Seashore,National Seashore," 1,451,225 ",2014
UT,BRCA,Bryce Canyon National Park,National Park," 1,435,741 ",2014
AR,HOSP,Hot Springs National Park,National Park," 1,424,484 ",2014
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore," 1,395,401 ",2014
TX,SAAN,San Antonio Missions National Historical Park,National Historical Park," 1,395,337 ",2014
PR,SAJU,San Juan National Historic Site,National Historic Site," 1,382,906 ",2014
AR,BUFF,Buffalo National River,National River," 1,357,057 ",2014
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway," 1,296,437 ",2014
UT,ARCH,Arches National Park,National Park," 1,284,767 ",2014
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway," 1,264,842 ",2014
WA,MORA,Mount Rainier National Park,National Park," 1,264,259 ",2014
VA,SHEN,Shenandoah National Park,National Park," 1,255,321 ",2014
FL,BICY,Big Cypress National Preserve,National Preserve," 1,192,856 ",2014
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area," 1,180,898 ",2014
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area," 1,152,083 ",2014
HI,HALE,Haleakala National Park,National Park," 1,142,040 ",2014
TX,AMIS,Amistad National Recreation Area,National Recreation Area," 1,130,096 ",2014
VA,NERI,New River Gorge National River,National River," 1,124,799 ",2014
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve," 1,121,318 ",2014
FL,EVER,Everglades National Park,National Park," 1,110,901 ",2014
CA,DEVA,Death Valley National Park,National Park," 1,101,312 ",2014
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park," 1,085,202 ",2014
MA,MIMA,Minute Man National Historical Park,National Historical Park," 1,056,549 ",2014
CA,MUWO,Muir Woods National Monument,National Monument," 1,049,400 ",2014
CA,SEQU,Sequoia National Park,National Park," 1,039,137 ",2014
PA,GETT,Gettysburg National Military Park,National Military Park," 1,020,702 ",2014
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 996,694 ",2014
CO,CURE,Curecanti National Recreation Area,National Recreation Area," 931,367 ",2014
CA,CABR,Cabrillo National Monument,National Monument," 893,434 ",2014
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 879,934 ",2014
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 873,328 ",2014
SD,BADL,Badlands National Park,National Park," 868,094 ",2014
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area," 851,901 ",2014
AZ,PEFO,Petrified Forest National Park,National Park," 836,799 ",2014
SC,FOSU,Fort Sumter National Monument,National Monument," 828,521 ",2014
AZ,CACH,Canyon de Chelly National Monument,National Monument," 827,761 ",2014
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 803,740 ",2014
UT,CARE,Capitol Reef National Park,National Park," 786,514 ",2014
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 769,300 ",2014
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site," 766,030 ",2014
UT,CEBR,Cedar Breaks National Monument,National Monument," 762,907 ",2014
FL,CASA,Castillo de San Marcos National Monument,National Monument," 760,708 ",2014
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area," 710,612 ",2014
NY,GOIS,Governors Island National Monument,National Monument," 698,227 ",2014
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area," 694,714 ",2014
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area," 692,195 ",2014
AZ,SAGU,Saguaro National Park,National Park," 673,572 ",2014
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 671,638 ",2014
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway," 671,582 ",2014
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 655,441 ",2014
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area," 599,906 ",2014
TX,PAIS,Padre Island National Seashore,National Seashore," 578,815 ",2014
DC,WHHO,White House,Other Designation," 569,391 ",2014
FL,FOMA,Fort Matanzas National Monument,National Monument," 568,529 ",2014
ND,THRO,Theodore Roosevelt National Park,National Park," 559,580 ",2014
CA,MOJA,Mojave National Preserve,National Preserve," 554,560 ",2014
LA,VICK,Vicksburg National Military Park,National Military Park," 550,874 ",2014
SD,WICA,Wind Cave National Park,National Park," 547,022 ",2014
UT,CANY,Canyonlands National Park,National Park," 542,431 ",2014
OR,CRLA,Crater Lake National Park,National Park," 535,508 ",2014
AK,DENA,Denali National Park,National Park," 531,315 ",2014
AK,DENA,Denali National Preserve,National Park," 531,315 ",2014
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore," 527,897 ",2014
FL,BISC,Biscayne National Park,National Park," 525,745 ",2014
KY,MACA,Mammoth Cave National Park,National Park," 522,628 ",2014
MA,LOWE,Lowell National Historical Park,National Historical Park," 514,524 ",2014
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 514,140 ",2014
NM,WHSA,White Sands National Monument,National Monument," 503,660 ",2014
CA,KICA,Kings Canyon National Park,National Park," 502,268 ",2014
CO,MEVE,Mesa Verde National Park,National Park," 501,563 ",2014
AK,GLBA,Glacier Bay National Park,National Park," 500,727 ",2014
AK,GLBA,Glacier Bay National Preserve,National Preserve," 500,727 ",2014
MD,FOWA,Fort Washington Park,Other Designation," 466,078 ",2014
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 445,524 ",2014
WY,DETO,Devils Tower National Monument,National Monument," 440,875 ",2014
CA,LAVO,Lassen Volcanic National Park,National Park," 432,977 ",2014
NC,CALO,Cape Lookout National Seashore,National Seashore," 430,927 ",2014
NC,WRBR,Wright Brothers National Memorial,National Memorial," 430,517 ",2014
CA,REDW,Redwood National Park,National Park," 429,166 ",2014
VI,VIIS,Virgin Islands National Park,National Park," 426,930 ",2014
DC,WAMO,Washington Monument,National Memorial," 423,170 ",2014
CO,COLM,Colorado National Monument,National Monument," 416,862 ",2014
MS,SHIL,Shiloh National Battlefield,National Battlefield," 409,086 ",2014
MA,BOAF,Boston African American National Historic Site,National Historic Site," 408,641 ",2014
AZ,MOCA,Montezuma Castle National Monument,National Monument," 407,017 ",2014
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 403,758 ",2014
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park," 401,808 ",2014
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 398,447 ",2014
NM,CAVE,Carlsbad Caverns National Park,National Park," 397,309 ",2014
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park," 388,283 ",2014
GA,FOPU,Fort Pulaski National Monument,National Monument," 387,010 ",2014
NY,FIIS,Fire Island National Seashore,National Seashore," 384,343 ",2014
CA,CHIS,Channel Islands National Park,National Park," 342,161 ",2014
FL,DESO,De Soto National Memorial,National Memorial," 342,039 ",2014
MD,ANTI,Antietam National Battlefield,National Battlefield," 337,079 ",2014
VA,PRWI,Prince William Forest Park,Park," 315,072 ",2014
TX,BIBE,Big Bend National Park,National Park," 314,102 ",2014
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore," 290,059 ",2014
PA,FLNI,Flight 93 National Memorial,National Memorial," 284,226 ",2014
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 281,436 ",2014
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 278,776 ",2014
MA,NEBE,New Bedford Whaling National Historical Park,National Historical Park," 272,731 ",2014
TN,STRI,Stones River National Battlefield,National Battlefield," 272,499 ",2014
CO,GRSA,Great Sand Dunes National Park,National Park," 271,774 ",2014
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 271,774 ",2014
AK,KEFJ,Kenai Fjords National Park,National Park," 270,666 ",2014
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 268,946 ",2014
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific," 266,191 ",2014
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 264,987 ",2014
NJ,MORR,Morristown National Historical Park,National Historical Park," 264,363 ",2014
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 262,317 ",2014
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 261,202 ",2014
DC,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial," 254,167 ",2014
SC,KIMO,Kings Mountain National Military Park,National Military Park," 251,093 ",2014
CO,DINO,Dinosaur National Monument,National Monument," 250,625 ",2014
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 244,921 ",2014
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 241,264 ",2014
MN,VOYA,Voyageurs National Park,National Park," 239,160 ",2014
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River," 230,845 ",2014
GA,FOFR,Fort Frederica National Monument,National Monument," 228,103 ",2014
AL,LIRI,Little River Canyon National Preserve,National Preserve," 224,931 ",2014
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 224,548 ",2014
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area," 224,083 ",2014
WA,NEPE,Nez Perce National Historical Park,National Historical Park," 221,439 ",2014
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 219,546 ",2014
IL,LIHO,Lincoln Home National Historic Site,National Historic Site," 218,132 ",2014
TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River," 215,767 ",2014
MS,NATC,Natchez National Historical Park,National Historical Park," 215,257 ",2014
ID,CRMO,Craters of the Moon National Monument,National Monument," 214,993 ",2014
VA,PETE,Petersburg National Battlefield,National Battlefield," 205,572 ",2014
SC,COWP,Cowpens National Battlefield,National Battlefield," 200,836 ",2014
CA,PINN,Pinnacles National Park,National Park," 196,635 ",2014
AZ,WUPA,Wupatki National Monument,National Monument," 195,962 ",2014
MD,CATO,Catoctin Mountain Park,Other Designation," 188,170 ",2014
FL,FOCA,Fort Caroline National Memorial,National Memorial," 187,843 ",2014
OR,JODA,John Day Fossil Beds National Monument,National Monument," 183,420 ",2014
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 183,045 ",2014
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 179,552 ",2014
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site," 179,340 ",2014
MA,ADAM,Adams National Historical Park,National Historical Park," 178,468 ",2014
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 176,723 ",2014
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 173,261 ",2014
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site," 172,883 ",2014
TX,GUMO,Guadalupe Mountains National Park,National Park," 166,868 ",2014
NM,ELMA,El Malpais National Monument,National Monument," 164,063 ",2014
MO,WICR,Wilson's Creek National Battlefield,National Battlefield," 161,058 ",2014
AK,SITK,Sitka National Historical Park,National Historical Park," 157,297 ",2014
HI,KAHO,Kaloko-Honokohau National Historical Park,National Historical Park," 154,206 ",2014
DC,THIS,Theodore Roosevelt Island,National Memorial," 146,500 ",2014
PA,JOFL,Johnstown Flood National Memorial,National Memorial," 141,354 ",2014
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site," 139,086 ",2014
CA,LABE,Lava Beds National Monument,National Monument," 138,499 ",2014
NY,FEHA,Federal Hall National Memorial,National Memorial," 137,538 ",2014
AZ,WACA,Walnut Canyon National Monument,National Monument," 135,230 ",2014
SD,MNRR,Missouri National Recreation River,National Recreation River," 134,760 ",2014
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site," 134,734 ",2014
MD,GREE,Greenbelt Park,Other Designation," 132,688 ",2014
VA,GEWA,George Washington Birthplace National Monument,National Monument," 131,984 ",2014
NM,BAND,Bandelier National Monument,National Monument," 130,106 ",2014
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial," 129,440 ",2014
GA,ANDE,Andersonville National Historic Site,National Historic Site," 127,189 ",2014
IN,GERO,George Rogers Clark National Historical Park,National Historical Park," 125,218 ",2014
GA,OCMU,Ocmulgee National Monument,National Monument," 122,799 ",2014
SC,CONG,Congaree National Park,National Park," 120,122 ",2014
NE,SCBL,Scotts Bluff National Monument,National Monument," 119,159 ",2014
AZ,CORO,Coronado National Memorial,National Memorial," 118,838 ",2014
WV,GARI,Gauley River National Recreation Area,National Recreation Area," 117,354 ",2014
AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site," 115,908 ",2014
NM,PETR,Petroglyph National Monument,National Monument," 115,859 ",2014
CA,DEPO,Devils Postpile National Monument,National Monument," 114,414 ",2014
TX,BITH,Big Thicket National Preserve,National Preserve," 109,956 ",2014
MD,PISC,Piscataway Park,Other Designation," 109,473 ",2014
VI,CHRI,Christiansted National Historic Site,National Historic Site," 109,159 ",2014
TX,CHAM,Chamizal National Memorial,National Memorial," 108,399 ",2014
NV,GRBA,Great Basin National Park,National Park," 107,526 ",2014
AR,PERI,Pea Ridge National Military Park,National Military Park," 104,686 ",2014
SD,JECA,Jewel Cave National Monument,National Monument," 104,348 ",2014
NY,GEGR,General Grant National Memorial,National Memorial," 100,622 ",2014
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial," 99,795 ",2014
UT,TICA,Timpanogos Cave National Monument,National Monument," 95,679 ",2014
ID,CIRO,City of Rocks National Reserve,National Reserve," 94,825 ",2014
MI,GRPO,Grand Portage National Monument,National Monument," 88,877 ",2014
AR,FOSM,Fort Smith National Historic Site,National Historic Site," 88,790 ",2014
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park," 88,427 ",2014
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 87,774 ",2014
UT,NABR,Natural Bridges National Monument,National Monument," 87,119 ",2014
MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area," 85,637 ",2014
PA,STEA,Steamtown National Historic Site,National Historic Site," 84,257 ",2014
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site," 82,377 ",2014
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site," 81,475 ",2014
IA,EFMO,Effigy Mounds National Monument,National Monument," 77,812 ",2014
CA,MANZ,Manzanar National Historic Site,National Historic Site," 77,633 ",2014
AZ,TUZI,Tuzigoot National Monument,National Monument," 74,903 ",2014
AK,WRST,Wrangell-St. Elias National Park,National Park," 74,722 ",2014
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve," 74,722 ",2014
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument," 69,405 ",2014
NE,HOME,Homestead National Monument of America,National Monument," 69,156 ",2014
HI,KALA,Kalaupapa National Historical Park,National Historical Park," 67,210 ",2014
AZ,NAVA,Navajo National Monument,National Monument," 65,778 ",2014
SC,NISI,Ninety Six National Historic Site,National Historic Site," 65,688 ",2014
FL,DRTO,Dry Tortugas National Park,National Park," 64,865 ",2014
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 64,359 ",2014
AZ,CAGR,Casa Grande Ruins National Monument,National Monument," 63,698 ",2014
CO,FLFO,Florissant Fossil Beds National Monument,National Monument," 63,297 ",2014
UT,RABR,Rainbow Bridge National Monument,National Monument," 62,910 ",2014
MN,PIPE,Pipestone National Monument,National Monument," 62,151 ",2014
SD,MIMI,Minuteman Missile National Historic Site,National Historic Site," 62,058 ",2014
GA,JICA,Jimmy Carter National Historic Site,National Historic Site," 62,057 ",2014
GA,CUIS,Cumberland Island National Seashore,National Seashore," 61,401 ",2014
NY,FOST,Fort Stanwix National Monument,National Monument," 60,819 ",2014
NY,ELRO,Eleanor Roosevelt National Historic Site,National Historic Site," 60,456 ",2014
NY,SARA,Saratoga National Historical Park,National Historical Park," 58,773 ",2014
WA,WHMI,Whitman Mission National Historic Site,National Historic Site," 58,499 ",2014
PA,EISE,Eisenhower National Historic Site,National Historic Site," 58,240 ",2014
OH,DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park," 57,565 ",2014
AZ,PISP,Pipe Spring National Monument,National Monument," 56,484 ",2014
MD,MONO,Monocacy National Battlefield,National Battlefield," 56,187 ",2014
MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park," 55,281 ",2014
NY,AFBG,African Burial Ground National Monument,National Monument," 54,861 ",2014
DC,PAAV,Pennsylvania Avenue National Historic Site,National Historic Site," 54,035 ",2014
SC,CHPI,Charles Pinckney National Historic Site,National Historic Site," 53,486 ",2014
NE,NIOB,Niobrara National Scenic River,National Scenic River," 53,443 ",2014
RI,ROWI,Roger Williams National Memorial,National Memorial," 51,523 ",2014
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 51,344 ",2014
NM,CAVO,Capulin Volcano National Monument,National Monument," 50,892 ",2014
TX,FODA,Fort Davis National Historic Site,National Historic Site," 49,842 ",2014
WY,FOLA,Fort Laramie National Historic Site,National Historic Site," 49,038 ",2014
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site," 48,105 ",2014
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site," 46,371 ",2014
NM,ELMO,El Morro National Monument,National Monument," 46,256 ",2014
CA,RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park," 45,549 ",2014
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site," 45,492 ",2014
AZ,CHIR,Chiricahua National Monument,National Monument," 45,125 ",2014
NM,AZRU,Aztec Ruins National Monument,National Monument," 44,721 ",2014
UT,GOSP,Golden Spike National Historic Site,National Historic Site," 44,125 ",2014
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 42,863 ",2014
MO,GWCA,George Washington Carver National Monument,National Monument," 41,535 ",2014
CA,JOMU,John Muir National Historic Site,National Historic Site," 41,535 ",2014
TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park," 41,516 ",2014
MO,ULSG,Ulysses S. Grant National Historic Site,National Historic Site," 40,287 ",2014
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park," 39,086 ",2014
WV,BLUE,Bluestone National Scenic River,National Scenic River," 38,450 ",2014
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 38,386 ",2014
NM,PECO,Pecos National Historical Park,National Historical Park," 38,256 ",2014
AZ,TUMA,Tumacacori National Historical Park,National Historical Park," 38,017 ",2014
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site," 37,785 ",2014
MT,BIHO,Big Hole National Battlefield,National Battlefield," 36,987 ",2014
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 36,432 ",2014
AZ,TONT,Tonto National Monument,National Monument," 36,360 ",2014
