State,Unit Code,Unit Name,Unit Type, Visitors ,Year
TX,AMIS,Amistad National Recreation Area,National Recreation Area," 1,164,530 ",2016
FL,TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve," 1,148,494 ",2016
CA,MUWO,Muir Woods National Monument,National Monument," 1,123,121 ",2016
FL,BICY,Big Cypress National Preserve,National Preserve," 1,102,148 ",2016
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 1,092,031 ",2016
PA,GETT,Gettysburg National Military Park,National Military Park," 1,091,320 ",2016
UT,CARE,Capitol Reef National Park,National Park," 1,064,904 ",2016
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 1,057,500 ",2016
MA,MIMA,Minute Man National Historical Park,National Historical Park," 1,049,414 ",2016
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 1,027,738 ",2016
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area," 1,025,613 ",2016
SD,BADL,Badlands National Park,National Park," 996,263 ",2016
CO,CURE,Curecanti National Recreation Area,National Recreation Area," 982,498 ",2016
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 969,895 ",2016
CA,CABR,Cabrillo National Monument,National Monument," 959,145 ",2016
FL,EVER,Everglades National Park,National Park," 930,907 ",2016
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park," 912,351 ",2016
CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area," 906,606 ",2016
WA,ROLA,Ross Lake National Recreation Area,National Recreation Area," 905,418 ",2016
UT,CEBR,Cedar Breaks National Monument,National Monument," 899,676 ",2016
SC,FOSU,Fort Sumter National Monument,National Monument," 888,330 ",2016
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area," 875,565 ",2016
FL,CASA,Castillo de San Marcos National Monument,National Monument," 854,664 ",2016
AZ,CACH,Canyon de Chelly National Monument,National Monument," 821,406 ",2016
AZ,SAGU,Saguaro National Park,National Park," 820,426 ",2016
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 820,387 ",2016
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore," 777,428 ",2016
UT,CANY,Canyonlands National Park,National Park," 776,218 ",2016
OR,CRLA,Crater Lake National Park,National Park," 756,344 ",2016
ND,THRO,Theodore Roosevelt National Park,National Park," 753,880 ",2016
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway," 708,258 ",2016
TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area," 684,715 ",2016
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 650,779 ",2016
AZ,PEFO,Petrified Forest National Park,National Park," 643,274 ",2016
TX,PAIS,Padre Island National Seashore,National Seashore," 634,012 ",2016
SD,WICA,Wind Cave National Park,National Park," 617,377 ",2016
DC,WHHO,White House,Other Designation," 611,207 ",2016
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 610,987 ",2016
CA,KICA,Kings Canyon National Park,National Park," 607,479 ",2016
AK,DENA,Denali National Park,National Park," 587,412 ",2016
AK,DENA,Denali National Preserve,National Park," 587,412 ",2016
KY,MACA,Mammoth Cave National Park,National Park," 586,514 ",2016
CA,MOJA,Mojave National Preserve,National Preserve," 585,635 ",2016
CO,MEVE,Mesa Verde National Park,National Park," 583,527 ",2016
MD,FOWA,Fort Washington Park,Other Designation," 560,358 ",2016
FL,FOMA,Fort Matanzas National Monument,National Monument," 557,810 ",2016
NM,WHSA,White Sands National Monument,National Monument," 555,793 ",2016
MA,LOWE,Lowell National Historical Park,National Historical Park," 541,825 ",2016
CA,REDW,Redwood National Park,National Park," 536,297 ",2016
CA,LAVO,Lassen Volcanic National Park,National Park," 536,068 ",2016
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 534,835 ",2016
NY,GOIS,Governors Island National Monument,National Monument," 522,859 ",2016
AK,GLBA,Glacier Bay National Park,National Park," 520,171 ",2016
AK,GLBA,Glacier Bay National Preserve,National Preserve," 520,171 ",2016
FL,BISC,Biscayne National Park,National Park," 514,709 ",2016
LA,VICK,Vicksburg National Military Park,National Military Park," 508,914 ",2016
WY,DETO,Devils Tower National Monument,National Monument," 496,210 ",2016
GU,WAPA,War in the Pacific National Historical Park,War in the Pacific," 488,988 ",2016
GA,MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site," 467,715 ",2016
NM,CAVE,Carlsbad Caverns National Park,National Park," 466,773 ",2016
AL,LIRI,Little River Canyon National Preserve,National Preserve," 462,700 ",2016
NC,WRBR,Wright Brothers National Memorial,National Memorial," 458,776 ",2016
NC,CALO,Cape Lookout National Seashore,National Seashore," 458,000 ",2016
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 438,420 ",2016
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park," 437,513 ",2016
NY,FIIS,Fire Island National Seashore,National Seashore," 431,303 ",2016
MS,SHIL,Shiloh National Battlefield,National Battlefield," 421,862 ",2016
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park," 421,027 ",2016
MA,BOAF,Boston African American National Historic Site,National Historic Site," 414,170 ",2016
VI,VIIS,Virgin Islands National Park,National Park," 411,343 ",2016
AZ,MOCA,Montezuma Castle National Monument,National Monument," 392,168 ",2016
CO,COLM,Colorado National Monument,National Monument," 391,075 ",2016
CO,GRSA,Great Sand Dunes National Park,National Park," 388,308 ",2016
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 388,308 ",2016
TX,BIBE,Big Bend National Park,National Park," 388,290 ",2016
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 387,856 ",2016
PA,FLNI,Flight 93 National Memorial,National Memorial," 385,123 ",2016
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 371,989 ",2016
CA,CHIS,Channel Islands National Park,National Park," 364,807 ",2016
MD,ANTI,Antietam National Battlefield,National Battlefield," 351,911 ",2016
AK,KEFJ,Kenai Fjords National Park,National Park," 346,534 ",2016
TN,STRI,Stones River National Battlefield,National Battlefield," 346,213 ",2016
GA,FOPU,Fort Pulaski National Monument,National Monument," 344,921 ",2016
VA,PRWI,Prince William Forest Park,Park," 344,435 ",2016
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 335,691 ",2016
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 332,328 ",2016
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 321,796 ",2016
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 316,122 ",2016
NY,FEHA,Federal Hall National Memorial,National Memorial," 314,531 ",2016
CO,DINO,Dinosaur National Monument,National Monument," 304,312 ",2016
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 303,139 ",2016
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 292,367 ",2016
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 290,021 ",2016
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 281,576 ",2016
