Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
KEFJ,Kenai Fjords National Park,Bird,2,Anseriformes,Anatidae,78535,175149,Active,Histrionicus histrionicus,Harlequin duck,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Anseriformes,Anatidae,78573,175183,Active,Lophodytes cucullatus,Hooded merganser,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Anseriformes,Anatidae,78575,175185,Active,Mergus merganser,Common merganser,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Anseriformes,Anatidae,78577,175187,Active,Mergus serrator,Red-breasted merganser,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Apodiformes,Trochilidae,83893,178040,Active,Selasphorus rufus,Rufous hummingbird,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81951,177019,Active,Aethia cristatella,Crested auklet,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81926,176998,Active,Brachyramphus brevirostris,Kittlitz's Murrelet,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81924,176996,Active,Brachyramphus marmoratus,Marbled Murrelet,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81919,176991,Active,Cepphus columba,Pigeon guillemot,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81966,177032,Active,Fratercula cirrhata,Tufted puffin,Lunda cirrhata,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81962,177029,Active,Fratercula corniculata,Horned puffin,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81900,176974,Active,Uria aalge,Common murre,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Alcidae,81904,176978,Active,Uria lomvia,Thick-billed murre,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Charadriidae,77630,176506,Active,Charadrius semipalmatus,Semipalmated Plover,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Charadriidae,77694,176564,Active,Pluvialis dominica,American Golden-Plover,Pluvialis dominicus,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Charadriidae,77697,176567,Active,Pluvialis squatarola,Black-bellied plover,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Haematopodidae,77595,176475,Active,Haematopus bachmani,Black oystercatcher,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81064,176824,Active,Larus argentatus,Herring gull,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81073,176832,Active,Larus canus,Mew gull,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,80383,176814,Active,Larus glaucescens,Glaucous-winged gull,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,80376,176808,Active,Larus hyperboreus,Glaucous gull,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81080,176839,Active,Larus philadelphia,Bonaparte's gull,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81076,176835,Active,Larus ridibundus,"Black-headed Gull, Common Black-headed Gull",,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81120,176875,Active,Rissa tridactyla,Black-legged Kittiwake,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81140,176893,Active,Sterna aleutica,Aleutian tern,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81175,176924,Active,Sterna caspia,Caspian tern,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Laridae,81137,176890,Active,Sterna paradisaea,Arctic tern,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79222,176612,Active,Actitis macularia,Spotted sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79289,176673,Active,Aphriza virgata,Surfbird,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,77702,176571,Active,Arenaria interpres,Ruddy turnstone,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,77705,176574,Active,Arenaria melanocephala,Black turnstone,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79266,176652,Active,Calidris acuminata,Sharp-tailed Sandpiper,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79284,176669,Active,Calidris alba,Sanderling,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79276,176661,Active,Calidris alpina,Dunlin,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79283,176668,Active,Calidris mauri,Western sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79267,176653,Active,Calidris melanotos,Pectoral sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79270,176656,Active,Calidris minutilla,Least sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79260,176647,Active,Calidris ptilocnemis,Rock sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79282,176667,Active,Calidris pusilla,Semipalmated sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,631807,726048,Active,Gallinago delicata,Wilson's snipe,"Capella gallinago delicata, Capella gallinago, Gallinago gallinago",Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79247,176635,Active,Heteroscelus incanus,Wandering tattler,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79291,176675,Active,Limnodromus griseus,Short-billed dowitcher,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79295,176679,Active,Limnodromus scolopaceus,Long-billed dowitcher,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79303,176686,Active,Limosa fedoa,Marbled godwit,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79308,176690,Active,Limosa haemastica,Hudsonian godwit,,Probably Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79206,176599,Active,Numenius phaeopus,Whimbrel,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,265861,554376,Active,Phalaropus fulicaria,Red phalarope,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,80295,176735,Active,Phalaropus lobatus,Red-necked phalarope,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79231,176620,Active,Tringa flavipes,Lesser yellowlegs,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79229,176619,Active,Tringa melanoleuca,Greater yellowlegs,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Scolopacidae,79225,176615,Active,Tringa solitaria,Solitary sandpiper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Charadriiformes,Stercorariidae,80359,176793,Active,Stercorarius parasiticus,Parasitic jaeger,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Coraciiformes,Alcedinidae,83980,178119,Active,Ceryle alcyon,Belted kingfisher,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Falconiformes,Falconidae,82533,175613,Active,Falco columbarius,Merlin,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Falconiformes,Falconidae,81854,175604,Active,Falco peregrinus,Peregrine falcon,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Falconiformes,Falconidae,81856,175606,Active,Falco peregrinus pealei,Peale's peregrine falcon,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Falconiformes,Falconidae,81847,175599,Active,Falco rusticolus,Gyrfalcon,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Galliformes,Phasianidae,263111,553896,Active,Falcipennis canadensis,Spruce Grouse,Dendragapus canadensis,Present
KEFJ,Kenai Fjords National Park,Bird,2,Galliformes,Phasianidae,83147,175804,Active,Lagopus lagopus,Willow ptarmigan,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Galliformes,Phasianidae,529883,677541,Active,Lagopus leucura,White-tailed Ptarmigan,Lagopus leucurus,Present
KEFJ,Kenai Fjords National Park,Bird,2,Galliformes,Phasianidae,529885,677542,Active,Lagopus muta,Rock Ptarmigan,Lagopus mutus,Present
KEFJ,Kenai Fjords National Park,Bird,2,Gruiformes,Gruidae,86496,176177,Active,Grus canadensis,Sandhill crane,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Bombycillidae,88292,178529,Active,Bombycilla garrulus,Bohemian Waxwing,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Calcariidae,85688,179532,Active,Plectrophenax nivalis,Snow bunting,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Certhiidae,90967,178803,Active,Certhia americana,Brown creeper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Cinclidae,88300,178536,Active,Cinclus mexicanus,American Dipper,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Corvidae,87111,179736,Active,Corvus caurinus,Northwestern crow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Corvidae,87099,179725,Active,Corvus corax,"Common raven, Raven",,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Corvidae,86257,179685,Active,Cyanocitta stelleri,Steller's Jay,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Corvidae,86237,179667,Active,Perisoreus canadensis,"Gray jay, Canada Jay",,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Corvidae,626506,726117,Active,Pica hudsonia,Black-billed Magpie,Pica pica,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,84754,179410,Active,Junco hyemalis,Dark-eyed junco,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,85634,179484,Active,Melospiza lincolnii,Lincoln's sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,85643,179492,Active,Melospiza melodia,Song sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,83846,179314,Active,Passerculus sandwichensis,Savannah sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,85612,179464,Active,Passerella iliaca,Fox sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,84778,179432,Active,Spizella arborea,American tree sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,85609,179461,Active,Zonotrichia atricapilla,Golden-crowned sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Emberizidae,85602,179455,Active,Zonotrichia leucophrys,White-crowned sparrow,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,95280,179230,Active,Carduelis flammea,Common redpoll,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,95283,179233,Active,Carduelis pinus,Pine siskin,,Present
KEFJ,Kenai Fjords National Park,Bird,2,Passeriformes,Fringillidae,94275,179167,Active,Fringilla montifringilla,Brambling,,Present
